t,plant,axis,metamer,organ,element,green_area,sucrose,temperature_init,transpiration,amino_acids,proteins,day,light,Tr,age,,t_init,hour_init,day_init,light_init,Tr_init
0,1,MS,1,blade,LeafElement1,0.00019533,24.15745785,9.59186972,0,1.55816188,22.25945538,1,night,0.00791038,240.2320637,,0,12,1,day,1.20689923
0,1,MS,1,sheath,StemElement,0.00026861,10.05882353,9.87150539,0,0.18488868,2.6412668,1,night,0.00730911,240.2320637,,0,12,1,day,0.45264077
0,1,MS,2,blade,LeafElement1,0.00024107,28.4567234,10.53106937,0,2.17527071,31.07529581,1,night,0.00794471,160.2320637,,0,12,1,day,1.11294565
0,1,MS,2,sheath,HiddenElement,0.000248,10.05882353,20,0,0.26304034,3.75771919,1,night,0,160.2320637,,0,12,1,day,0
0,1,MS,2,sheath,StemElement,0.00000471,0.17647059,9.5755739,0,0.00461474,0.0659249,1,night,0.00747867,160.2320637,,0,12,1,day,0.2428691
0,1,MS,3,blade,LeafElement1,0.00018295,7,9.06232507,0,0.5,29.10298252,1,night,0.00790963,80.2320637,,0,12,1,day,1.00787049
0,1,MS,4,blade,LeafElement1,0,NA,15,0,NA,NA,1,night,NA,0,,0,12,1,day,NA
0,1,MS,5,blade,LeafElement1,0,NA,15,0,NA,NA,1,night,NA,0,,0,12,1,day,NA
1,1,MS,1,blade,LeafElement1,0.00019533,20.66549508,9.59186972,0.00018477,1.42174868,22.2474871,1,night,0.01604435,240.4809759,,1,13,1,day,1.40298057
1,1,MS,1,sheath,StemElement,0.00026861,6.14136482,9.87150539,0.00006774,0.27704204,2.63690613,1,night,0.01481828,240.4809759,,1,13,1,day,0.54595052
1,1,MS,2,blade,LeafElement1,0.00024107,26.12332111,10.53106937,0.00027713,1.9311802,31.06365862,1,night,0.01611439,160.4809759,,1,13,1,day,1.30486097
1,1,MS,2,sheath,HiddenElement,0.000248,6.12444975,20,0.0000248,0.27585665,3.75197366,1,night,0,160.4809759,,1,13,1,day,0
1,1,MS,2,sheath,StemElement,0.00000471,0.06101925,9.5755739,0.00000156,0.00495688,0.06582685,1,night,0.01516388,160.4809759,,1,13,1,day,0.32821536
1,1,MS,3,blade,LeafElement1,0.00018367,5.39369029,9.06232507,0.00016958,0.33991433,29.17264421,1,night,0.01604328,80.48097587,,1,13,1,day,1.18867282
1,1,MS,4,blade,LeafElement1,0,NA,5.4655,0,NA,NA,1,night,NA,0,,1,13,1,day,NA
1,1,MS,5,blade,LeafElement1,0,NA,15,0,NA,NA,1,night,NA,0,,1,13,1,day,NA
2,1,MS,1,blade,LeafElement1,0.00019533,19.63265322,8.52314073,0.00015205,1.33877055,22.23679718,1,night,0.01604435,240.6961514,,2,14,1,day,0.90579458
2,1,MS,1,sheath,StemElement,0.00026861,4.87637831,8.52068642,0.00005678,0.3350743,2.6332457,1,night,0.01481828,240.6961514,,2,14,1,day,0.35683518
2,1,MS,2,blade,LeafElement1,0.00024107,25.27655635,9.06464532,0.00021288,1.77276663,31.05334436,1,night,0.01611439,160.6961514,,2,14,1,day,0.83784572
2,1,MS,2,sheath,HiddenElement,0.000248,4.86904625,6.26392673,0.0000248,0.29221689,3.74674788,1,night,0,160.6961514,,2,14,1,day,0
2,1,MS,2,sheath,StemElement,0.00000471,0.05374328,7.22320323,0.00000104,0.00490959,0.06574056,1,night,0.01516388,160.6961514,,2,14,1,day,0.21200527
2,1,MS,3,blade,LeafElement1,0.00018424,7.12037265,8.48028613,0.00015798,0.42168139,29.23273643,1,night,0.01604374,80.69615137,,2,14,1,day,0.75985393
2,1,MS,4,blade,LeafElement1,0,NA,5.4655,0,NA,NA,1,night,NA,0,,2,14,1,day,NA
2,1,MS,5,blade,LeafElement1,0,NA,15,0,NA,NA,1,night,NA,0,,2,14,1,day,NA
3,1,MS,1,blade,LeafElement1,0.00019533,19.84258319,8.52314073,0.00015205,1.30523657,22.22751557,1,night,0.01673243,240.9434343,,3,15,1,day,0.29696641
3,1,MS,1,sheath,StemElement,0.00026861,4.38916781,8.52068642,0.00005678,0.37586351,2.63018858,1,night,0.01543234,240.9434343,,3,15,1,day,0.13522963
3,1,MS,2,blade,LeafElement1,0.00024107,25.72847371,9.06464532,0.00021288,1.704669,31.04442122,1,night,0.01680681,160.9434343,,3,15,1,day,0.27247632
3,1,MS,2,sheath,HiddenElement,0.000248,4.38629217,6.26392673,0.0000248,0.30787887,3.74215673,1,night,0,160.9434343,,3,15,1,day,0
3,1,MS,2,sheath,StemElement,0.00000471,0.05806268,7.22320323,0.00000104,0.00511958,0.06566627,1,night,0.01579843,160.9434343,,3,15,1,day,0.08052131
3,1,MS,3,blade,LeafElement1,0.00018492,8.53813506,8.48028613,0.00015844,0.48916271,29.30502393,1,night,0.01673216,80.94343432,,3,15,1,day,0.24309169
3,1,MS,4,blade,LeafElement1,0,NA,5.385,0,NA,NA,1,night,NA,0,,3,15,1,day,NA
3,1,MS,5,blade,LeafElement1,0,NA,15,0,NA,NA,1,night,NA,0,,3,15,1,day,NA
4,1,MS,1,blade,LeafElement1,0.00019533,16.49251647,3.47554972,0.00002389,1.15278482,22.21834816,1,night,0.02150578,241.1801472,,4,16,1,day,0.04051592
4,1,MS,1,sheath,StemElement,0.00026861,4.17297194,3.32995519,0.0000224,0.37537861,2.62726504,1,night,0.01981622,241.1801472,,4,16,1,day,0.03049637
4,1,MS,2,blade,LeafElement1,0.00024107,20.95280402,3.50882851,0.00002912,1.47360294,31.03557509,1,night,0.02160254,161.1801472,,4,16,1,day,0.0379564
4,1,MS,2,sheath,HiddenElement,0.000248,4.16985337,6.223,0.0000248,0.33379698,3.73773068,1,night,0,161.1801472,,4,16,1,day,0
4,1,MS,2,sheath,StemElement,0.00000471,0.06299552,3.1735768,0.00000044,0.00496768,0.06559449,1,night,0.02029164,161.1801472,,4,16,1,day,0.02101452
4,1,MS,3,blade,LeafElement1,0.00018557,9.12322089,3.51282529,0.00002532,0.52895127,29.37401792,1,night,0.02150587,81.18014724,,4,16,1,day,0.03520798
4,1,MS,4,blade,LeafElement1,0,NA,5.385,0,NA,NA,1,night,NA,0,,4,16,1,day,NA
4,1,MS,5,blade,LeafElement1,0,NA,15,0,NA,NA,1,night,NA,0,,4,16,1,day,NA
5,1,MS,1,blade,LeafElement1,0.00019533,14.69698422,3.47554972,0.00002389,1.05881279,22.20896271,1,night,0.0219578,241.4079591,,5,17,1,day,0.01070827
5,1,MS,1,sheath,StemElement,0.00026861,4.0636933,3.32995519,0.0000224,0.37757244,2.62437292,1,night,0.02021817,241.4079591,,5,17,1,day,0.00978333
5,1,MS,2,blade,LeafElement1,0.00024107,18.44059434,3.50882851,0.00002912,1.33234726,31.02644491,1,night,0.02205751,161.4079591,,5,17,1,day,0.01076265
5,1,MS,2,sheath,HiddenElement,0.000248,4.06046215,6.223,0.0000248,0.35447647,3.73340382,1,night,0,161.4079591,,5,17,1,day,0
5,1,MS,2,sheath,StemElement,0.00000471,0.06657281,3.1735768,0.00000044,0.00502099,0.06552347,1,night,0.02070742,161.4079591,,5,17,1,day,0.01004294
5,1,MS,3,blade,LeafElement1,0.0001862,9.43702069,3.51282529,0.00002539,0.55838593,29.43996099,1,night,0.02199952,81.4079591,,5,17,1,day,0.01070422
5,1,MS,4,blade,LeafElement1,0,NA,5.347,0.00000001,NA,NA,1,night,NA,0,,5,17,1,day,NA
5,1,MS,5,blade,LeafElement1,0,NA,15,0,NA,NA,1,night,NA,0,,5,17,1,day,NA
6,1,MS,1,blade,LeafElement1,0.00019533,13.19033039,3.39255293,0.0000168,0.98758416,22.19937899,1,night,0.02708713,241.6300886,,6,18,1,day,0.00718861
