t,plant,axis,metamer,organ,sucrose,temperature,proteins,amino_acids,day,light,leaf_pseudo_age
0,1,MS,3,hiddenzone,4.45E+00,8,8.01,0.25094946,1,night,1571670.859
0,1,MS,4,hiddenzone,1.90E+00,8,5.03,0.32467819,1,night,758670.8587
0,1,MS,5,hiddenzone,7.60E-02,8,0.21318593,0.01483249,1,night,0
1,1,MS,3,hiddenzone,4.21970541,8,8.02473264,0.50041598,1,night,1573463.026
1,1,MS,4,hiddenzone,1.97504252,8,5.03576483,0.23467553,1,night,760463.0262
1,1,MS,5,hiddenzone,0.07279305,8,0.21337336,0.00864883,1,night,0
2,1,MS,3,hiddenzone,4.8129709,8,8.03946289,0.50329696,1,night,1575012.29
2,1,MS,4,hiddenzone,2.26287623,8,5.04157308,0.23700989,1,night,762012.2899
2,1,MS,5,hiddenzone,0.0834568,8,0.21356268,0.00874064,1,night,0
3,1,MS,3,hiddenzone,5.49604168,8,8.05425071,0.50939062,1,night,1576792.727
3,1,MS,4,hiddenzone,2.59675664,8,5.04745866,0.24101957,1,night,763792.7271
3,1,MS,5,hiddenzone,0.0958436,8,0.21375516,0.00889532,1,night,0
4,1,MS,3,hiddenzone,5.76138295,8,8.06909659,0.51340927,1,night,1578497.06
4,1,MS,4,hiddenzone,2.73883226,8,5.05342044,0.24405891,1,night,765497.0602
4,1,MS,5,hiddenzone,0.10115705,8,0.21395076,0.00901415,1,night,0
5,1,MS,3,hiddenzone,5.89544134,8,8.0839882,0.51722778,1,night,1580137.305
5,1,MS,4,hiddenzone,2.81464431,8,5.05945069,0.24694085,1,night,767137.3055
5,1,MS,5,hiddenzone,0.1040315,8,0.2141492,0.00912719,1,night,0
6,1,MS,3,hiddenzone,5.97284156,8,8.09892004,0.52090281,1,night,1581736.638
6,1,MS,4,hiddenzone,2.86362095,8,5.06554586,0.24974537,1,night,768736.6377
6,1,MS,5,hiddenzone,0.105917,8,0.21435034,0.00923745,1,night,0
7,1,MS,3,hiddenzone,6.01851675,8,8.11389156,0.5244683,1,day,1583313.367
