plant,axis,metamer,organ,length,radius,turgor_water_potential,water_content,age,sucrose,proteins,amino_acids
1,MS,3,hiddenzone,0.02895,0.0015,0.55,0.013751163,150,4.45E+00,8.01,0.25094946
1,MS,4,hiddenzone,0.02601,0.00075,0.55,6.67E-03,100,1.90E+00,5.03,0.32467819
1,MS,5,hiddenzone,0.002097843,0.000375,0.55,2.66E-04,50,7.60E-02,0.21318593,0.01483249
1,MS,6,hiddenzone,0.000541365,0.0001875,0.55,4.72E-05,25,1.35E-02,0.03779616,0.00264248
1,MS,7,hiddenzone,0.000226918,0.00009375,0.55,1.56E-05,12.5,4.47E-03,0.0125,0.00087573
1,MS,8,hiddenzone,0.000113794,0.000046875,0.55,6.60E-06,6.25,1.89E-03,0.00529,0.00036916
1,MS,9,hiddenzone,0.0000559,2.34E-05,0.55,2.79E-06,3.125,7.97E-04,0.00224,0.00015566
1,MS,10,hiddenzone,0.0000293,1.17E-05,0.55,1.34E-06,1.5625,3.84E-04,0.00108,0.00007535
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
